NO,address,latitude,longitude
2020_00006,서울특별시 동대문구 정릉천동로 100,,
2020_00145,서울특별시 관악구 구암길 95,,
2020_00155,서울특별시 강남구 남부순환로 2803,,
2020_00158,서울특별시 서초구 나루터로4길 28,,
2020_00234,서울특별시 은평구 연서로28길 12-1,,
2020_00423,서울특별시 송파구 성내천로6길 1-13,,
2020_00433,서울특별시 서초구 나루터로4길 39,,
2020_00441,서울특별시 송파구 성내천로6길 1-13,,
2020_00473,서울특별시 강동구 진황도로 12,,
2020_00503,서울특별시 서초구 신반포로 45,,
2020_00504,서울특별시 송파구 성내천로6길 1-13,,
2020_00612,서울특별시 금천구 시흥대로 291-1,,
2020_00735,서울특별시 노원구 노원로1길 103,,
2020_00802,서울특별시 서초구 신반포로 32,,
2020_00804,서울특별시 서초구 신반포로 32,,
2020_00820,서울특별시 송파구 올림픽로 399,,
2020_00859,서울특별시 서초구 신반포로 9,,
2020_00919,서울특별시 금천구 시흥대로 291-1,,
2020_00974,서울특별시 서초구 신반포로 9,,
2020_01039,서울특별시 동대문구 한천로24길 74-11,,
2020_01173,서울특별시 서초구 효령로34길 79,,
2020_01445,서울특별시 서초구 잠원로 86,,
2020_01491,서울특별시 서초구 신반포로 45,,
2020_01497,서울특별시 서초구 신반포로 9,,
2020_01607,서울특별시 구로구 개봉로3가길 88-41,,
2020_01795,서울특별시 송파구 올림픽로 399,,
2020_01833,서울특별시 서초구 신반포로 45,,
2020_01839,서울특별시 서초구 나루터로4길 28,,
2020_02008,서울특별시 서초구 신반포로 45,,
2020_02028,서울특별시 송파구 올림픽로 399,,
2020_02338,서울특별시 송파구 올림픽로 399,,
2020_02352,서울특별시 서초구 신반포로 32,,
2020_02487,서울특별시 서초구 신반포로 32,,
2020_02560,서울특별시 서초구 신반포로 45,,
2020_02804,서울특별시 금천구 시흥대로 291-1,,
2020_03099,서울특별시 서초구 나루터로4길 28,,
2020_03100,서울특별시 강동구 진황도로 12,,
2020_03192,서울특별시 동작구 사당로23길 4,,
2020_03193,서울특별시 동작구 사당로23길 4,,
2020_03283,서울특별시 송파구 올림픽로 399,,
2020_03287,서울특별시 서초구 나루터로4길 28,,
2020_03288,서울특별시 서초구 나루터로4길 28,,
2020_03542,서울특별시 동작구 사당로23길 4,,
2020_03584,서울특별시 송파구 성내천로6길 1-13,,
2020_03589,서울특별시 송파구 올림픽로 399,,
2020_03599,서울특별시 서초구 신반포로 9,,
2020_03708,서울특별시 금천구 시흥대로 291-1,,
2020_03727,서울특별시 동작구 사당로23길 4,,
2020_03828,서울특별시 서초구 신반포로33길 30,,
2020_03848,서울특별시 서초구 신반포로33길 30,,
2020_03860,서울특별시 강남구 남부순환로 2803,,
2020_03865,서울특별시 송파구 올림픽로 399,,
2020_03908,서울특별시 서초구 나루터로4길 39,,
2020_03910,서울특별시 서초구 잠원로4길 34-11,,
2020_04163,서울특별시 서초구 나루터로4길 28,,
2020_04218,서울특별시 금천구 시흥대로 291-1,,
2020_04278,서울특별시 동작구 사당로23길 4,,
2020_04339,서울특별시 서초구 나루터로4길 39,,
2020_04366,서울특별시 서초구 신반포로 32,,
2020_04367,서울특별시 서초구 신반포로 32,,
2020_04545,서울특별시 강서구 곰달래로18길 33-1,,
2020_04617,서울특별시 은평구 연서로28길 12-1,,
2020_05048,서울특별시 서초구 나루터로4길 28,,
2020_05052,서울특별시 서초구 나루터로4길 39,,
2020_05053,서울특별시 송파구 올림픽로 399,,
2020_05067,서울특별시 서초구 나루터로4길 39,,
2020_05316,서울특별시 강동구 진황도로 18,,
2020_05323,서울특별시 서초구 나루터로4길 28,,
2020_05324,서울특별시 서초구 신반포로33길 30,,
2020_05349,서울특별시 서초구 신반포로 32,,
2020_05551,서울특별시 금천구 시흥대로 291-1,,
2020_05699,서울특별시 은평구 서오릉로 107-1,,
2020_05716,서울특별시 서초구 나루터로4길 28,,
2020_05740,서울특별시 송파구 올림픽로 399,,
2020_05897,서울특별시 서초구 신반포로 32,,
2020_05944,서울특별시 서초구 나루터로4길 39,,
2020_05945,서울특별시 서초구 나루터로4길 39,,
2020_06659,서울특별시 서초구 나루터로4길 39,,
2020_06728,서울특별시 서초구 신반포로 32,,
2020_06789,서울특별시 송파구 올림픽로 399,,
2020_07229,서울특별시 금천구 시흥대로 291-1,,
2020_07274,서울특별시 서초구 신반포로 32,,
2020_07276,서울특별시 서초구 신반포로 32,,
2020_07316,서울특별시 송파구 올림픽로33길 17,,
2020_07320,서울특별시 서초구 나루터로4길 39,,
2020_07488,서울특별시 종로구 세검정로 384-13,,
2020_07696,서울특별시 서초구 나루터로4길 39,,
2020_07698,서울특별시 서초구 나루터로4길 39,,
2020_07959,서울특별시 강남구 남부순환로 2803,,
2020_07982,서울특별시 송파구 올림픽로33길 17,,
2020_07994,서울특별시 서초구 나루터로4길 39,,
2020_07995,서울특별시 서초구 나루터로4길 39,,
2020_08080,서울특별시 동작구 사당로23길 4,,
2020_08278,서울특별시 서초구 나루터로4길 28,,
2020_08281,서울특별시 서초구 나루터로4길 39,,
2020_08283,서울특별시 서초구 잠원로4길 34-11,,
2020_08438,서울특별시 성북구 64,,
2020_08539,서울특별시 동작구 사당로23길 4,,
2020_08690,서울특별시 서초구 나루터로4길 39,,
2020_08691,서울특별시 서초구 나루터로4길 39,,
2020_08693,서울특별시 서초구 나루터로4길 39,,
2020_08720,서울특별시 서초구 신반포로 32,,
2020_08721,서울특별시 서초구 신반포로 32,,
2020_08742,서울특별시 서초구 나루터로4길 39,,
2020_09047,서울특별시 금천구 시흥대로 291-1,,
2020_09054,서울특별시 서초구 신반포로 32,,
2020_09064,서울특별시 송파구 성내천로6길 1-13,,
2020_09088,서울특별시 서초구 나루터로4길 28,,
2020_09089,서울특별시 서초구 나루터로4길 39,,
2020_09090,서울특별시 서초구 나루터로4길 39,,
2020_09142,서울특별시 은평구 서오릉로 107-1,,
2020_09248,서울특별시 동작구 사당로23길 4,,
2020_09363,서울특별시 서초구 나루터로4길 28,,
2020_09395,서울특별시 송파구 성내천로6길 1-13,,
2020_09426,서울특별시 서초구 신반포로 32,,
2020_09429,서울특별시 서초구 신반포로 32,,
2020_09528,서울특별시 은평구 연서로28길 12-1,,
2020_09591,서울특별시 금천구 시흥대로 291-1,,
2020_09789,서울특별시 서초구 나루터로4길 39,,
2020_09790,서울특별시 서초구 잠원로4길 34-11,,
2020_09806,서울특별시 서초구 신반포로 32,,
2020_09821,서울특별시 서초구 신반포로 32,,
2020_09822,서울특별시 서초구 신반포로 32,,
2020_09846,서울특별시 성북구 64,,
2020_09891,서울특별시 금천구 시흥대로 291-1,,
2020_09961,서울특별시 서초구 나루터로4길 39,,
2020_09962,서울특별시 서초구 신반포로 32,,
2020_09970,서울특별시 서초구 신반포로 32,,
2020_09980,서울특별시 서초구 나루터로4길 39,,
2020_10366,서울특별시 서초구 나루터로4길 28,,
2020_10367,서울특별시 서초구 나루터로4길 28,,
2020_10377,서울특별시 서초구 신반포로 32,,
2020_10378,서울특별시 서초구 신반포로 32,,
2020_10379,서울특별시 서초구 신반포로 32,,
2020_10813,서울특별시 서초구 신반포로 32,,
2020_10821,서울특별시 서초구 나루터로4길 28,,
2020_11096,서울특별시 서초구 나루터로4길 49,,
2020_11109,서울특별시 서초구 신반포로 32,,
2020_11291,서울특별시 서초구 신반포로 45,,
2020_11296,서울특별시 서초구 나루터로4길 28,,
2020_11592,서울특별시 서초구 신반포로 32,,
2020_11620,서울특별시 서초구 신반포로 32,,
2020_11621,서울특별시 서초구 신반포로 32,,
2020_11799,서울특별시 송파구 올림픽로33길 17,,
2020_12037,서울특별시 금천구 시흥대로 291-1,,
2020_12248,서울특별시 서초구 신반포로 32,,
2020_12310,서울특별시 동작구 사당로23길 4,,
2020_12632,서울특별시 서초구 잠원로4길 34-11,,
2020_12813,서울특별시 서초구 신반포로 9,,
2020_12853,서울특별시 송파구 올림픽로 399,,
2020_13449,서울특별시 송파구 성내천로6길 1-13,,
2020_13545,서울특별시 금천구 시흥대로 291-1,,
2020_13630,서울특별시 송파구 성내천로6길 1-13,,
2020_13676,서울특별시 송파구 성내천로6길 1-13,,
2020_13696,서울특별시 서초구 나루터로4길 28,,
2020_13904,서울특별시 서초구 신반포로 32,,
2020_13919,서울특별시 서초구 나루터로4길 28,,
2020_14075,서울특별시 서초구 나루터로4길 28,,
2020_14266,서울특별시 은평구 은평로 116-1,,
2020_14486,서울특별시 강동구 고덕로25길 13-11,,
2020_14507,서울특별시 서초구 신반포로 9,,
2020_14520,서울특별시 송파구 성내천로6길 1-13,,
2020_14532,서울특별시 서초구 신반포로 32,,
2020_14703,서울특별시 서초구 나루터로4길 28,,
2020_14980,서울특별시 서초구 신반포로 32,,
2020_14984,서울특별시 서초구 신반포로 32,,
2020_15133,서울특별시 금천구 시흥대로 291-1,,
2020_15157,서울특별시 광진구 뚝섬로 45,,
2020_15245,서울특별시 노원구 노원로1길 103,,
2020_15303,서울특별시 서초구 신반포로 45,,
2020_15495,서울특별시 마포구 마포대로19길 8,,
2020_15534,서울특별시 서초구 나루터로4길 39,,
2020_15535,서울특별시 서초구 나루터로4길 28,,
2020_15550,서울특별시 송파구 성내천로6길 1-13,,
2020_15646,서울특별시 동작구 사당로23길 4,,
2020_15647,서울특별시 동작구 사당로23길 4,,
2020_15711,서울특별시 구로구 개봉로3가길 88-41,,
2020_15768,서울특별시 서초구 나루터로4길 28,,
2020_15834,서울특별시 은평구 서오릉로 107-1,,
2020_16016,서울특별시 서초구 신반포로 32,,
2020_16017,서울특별시 송파구 성내천로6길 1-13,,
2020_16260,서울특별시 서초구 나루터로4길 28,,
2020_16261,서울특별시 서초구 나루터로4길 28,,
2020_16339,서울특별시 은평구 서오릉로 107-1,,
2020_16464,서울특별시 은평구 서오릉로 107-1,,
2020_16492,서울특별시 서초구 신반포로 9,,
2020_16493,서울특별시 서초구 신반포로 32,,
2020_16494,서울특별시 서초구 신반포로 32,,
2020_16629,서울특별시 종로구 창경궁로18길 20-6,,
2020_16630,서울특별시 종로구 창경궁로18길 20-6,,
2020_16631,서울특별시 종로구 창경궁로18길 20-6,,
2020_16632,서울특별시 종로구 창경궁로18길 20-6,,
2020_16633,서울특별시 종로구 창경궁로18길 20-6,,
2020_16634,서울특별시 종로구 창경궁로18길 20-6,,
2020_16635,서울특별시 종로구 창경궁로18길 20-6,,
2020_16639,서울특별시 종로구 창경궁로18길 20-6,,
2020_16640,서울특별시 종로구 창경궁로18길 20-6,,
2020_16641,서울특별시 종로구 창경궁로18길 20-6,,
2020_16642,서울특별시 종로구 창경궁로18길 20-6,,
2020_16643,서울특별시 종로구 창경궁로18길 20-6,,
