동별(1),동별(2),동별(3),2019,2020,2021,2022,2023
동별(1),동별(2),동별(3),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢)
합계,중랑구,신내2동,22126,22905,22074,21672,21262
합계,중랑구,면목본동,35837,42171,40700,40305,39940
합계,중랑구,면목3·8동,15922,15948,15432,15102,15240
합계,중랑구,망우본동,10789,10160,10716,11850,12177
합계,성북구,소계,18505,18190,17909,17983,17828
합계,성북구,돈암1동,32492,31386,30186,29539,29339
합계,성북구,돈암2동,52142,51429,49819,49285,49056
합계,성북구,안암동,13159,12466,12426,12871,12983
합계,성북구,보문동,29738,28791,28154,29843,29598
합계,성북구,정릉1동,44216,43020,41766,41357,40943
합계,성북구,정릉2동,20371,20287,19887,19582,19500
합계,성북구,정릉3동,4645,4541,4369,4465,4482
합계,성북구,정릉4동,8560,8304,8090,7959,7833
합계,성북구,길음1동,46939,46289,45082,44304,44181
합계,성북구,길음2동,28655,29598,28931,37462,37590
합계,성북구,월곡1동,33979,33467,32747,32307,31851
합계,성북구,월곡2동,15080,14997,14629,14514,14361
합계,성북구,장위1동,29417,29213,35016,34403,33724
합계,성북구,장위2동,20854,21054,20825,20331,19943
합계,성북구,장위3동,27046,26706,24585,24412,24097
합계,성북구,성북동,6148,6085,5953,5905,5770
합계,성북구,삼선동,28275,26243,25449,25048,24809
합계,성북구,동선동,22296,22255,22075,21740,21881
합계,성북구,종암동,28814,28324,27620,27473,27237
합계,성북구,석관동,21102,21088,20710,20413,20055
합계,강북구,소계,13462,13202,12820,12614,12414
합계,강북구,번1동,29718,29456,28359,28148,27217
합계,강북구,번2동,18002,17415,16771,16207,15783
합계,강북구,번3동,16592,16005,15368,14954,14927
합계,강북구,수유1동,13078,12855,12484,12276,12096
합계,강북구,수유2동,38489,37886,37581,36937,36311
합계,강북구,수유3동,33422,33204,32490,33025,33269
합계,강북구,삼양동,28063,27189,26156,25374,24859
합계,강북구,미아동,24531,24433,23653,23317,23168
합계,강북구,송중동,30845,30628,29738,29614,29006
합계,강북구,송천동,31809,30968,29779,28887,28009
합계,강북구,삼각산동,53065,51803,50758,49902,49542
합계,강북구,우이동,2081,2050,2011,1985,1946
합계,강북구,인수동,9897,9617,9318,9121,8952
합계,도봉구,소계,16245,15852,15465,15205,14987
합계,도봉구,쌍문1동,18035,17755,17466,17294,17004
합계,도봉구,쌍문2동,37083,35937,34933,34187,33485
합계,도봉구,쌍문3동,34524,33844,33536,33868,33302
합계,도봉구,쌍문4동,38098,37110,35852,35285,34846
합계,도봉구,방학1동,43559,42371,41901,41174,40587
합계,도봉구,방학2동,28568,27666,26847,26154,25323
