NO,address,latitude,longitude
2021_14532,서울특별시 동대문구 정릉천동로 100,,
2021_14543,서울특별시 서초구 나루터로4길 28,,
2021_14561,서울특별시 서초구 신반포로 9,,
2021_14565,서울특별시 서초구 나루터로4길 28,,
2021_14589,서울특별시 서초구 신반포로 32,,
2021_14802,서울특별시 서초구 신반포로 45,,
2021_14803,서울특별시 서초구 신반포로 32,,
2021_14868,서울특별시 은평구 은평로 116-1,,
2021_14999,서울특별시 서초구 나루터로4길 39,,
2021_15343,서울특별시 동작구 사당로23길 4,,
2021_15397,서울특별시 금천구 시흥대로 291-1,,
2021_15967,서울특별시 강동구 진황도로 18,,
2021_16084,서울특별시 은평구 연서로19길 9,,
2021_16367,서울특별시 서초구 효령로34길 79,,
2021_16421,서울특별시 송파구 성내천로6길 1-13,,
2021_16428,서울특별시 서초구 신반포로 9,,
2021_16480,서울특별시 금천구 시흥대로 291-1,,
2021_16677,서울특별시 은평구 서오릉로 80-1,,
2021_16852,서울특별시 서초구 나루터로4길 28,,
2021_17034,서울특별시 서초구 효령로34길 79,,
2021_17167,서울특별시 강남구 남부순환로 2803,,
2021_17314,서울특별시 강서구 화곡로21길 71-1,,
2021_17419,서울특별시 노원구 노원로1길 103,,
2021_17643,서울특별시 서초구 신반포로 32,,
2021_17676,서울특별시 강남구 남부순환로 2803,,
2021_17732,서울특별시 은평구 서오릉로 80-1,,
2021_18054,서울특별시 서초구 나루터로4길 28,,
2021_18443,서울특별시 서초구 나루터로4길 39,,
2021_18467,서울특별시 서초구 신반포로 9,,
2021_18658,서울특별시 서초구 신반포로 32,,
2021_18705,서울특별시 금천구 시흥대로 291-1,,
2021_18737,서울특별시 은평구 은평로 116-1,,
2021_18954,서울특별시 노원구 노원로1길 103,,
2021_18968,서울특별시 서초구 신반포로 32,,
2021_19269,서울특별시 서초구 나루터로4길 39,,
2021_19275,서울특별시 서초구 신반포로 32,,
2021_19276,서울특별시 서초구 신반포로 32,,
2021_19404,서울특별시 은평구 서오릉로2길 12-1,,
2021_19778,서울특별시 서초구 나루터로4길 49,,
2021_20109,서울특별시 서초구 나루터로4길 28,,
2021_20185,서울특별시 금천구 시흥대로 291-1,,
2021_20550,서울특별시 서초구 나루터로4길 39,,
2021_20551,서울특별시 서초구 나루터로4길 39,,
2021_20899,서울특별시 서초구 신반포로 32,,
2021_20930,서울특별시 서초구 나루터로4길 28,,
2021_20931,서울특별시 서초구 신반포로 32,,
2021_20933,서울특별시 서초구 나루터로4길 28,,
2021_21132,서울특별시 강동구 고덕로25길 13-11,,
2021_21136,서울특별시 서초구 신반포로 45,,
2021_21395,서울특별시 서초구 신반포로 45,,
2021_21635,서울특별시 서초구 신반포로 32,,
2021_21663,서울특별시 동작구 상도로 164,,
2021_21664,서울특별시 동작구 상도로 164,,
2021_21665,서울특별시 동작구 상도로 164,,
2021_21666,서울특별시 동작구 상도로 164,,
2021_21667,서울특별시 동작구 상도로 164,,
2021_21668,서울특별시 동작구 상도로 164,,
2021_21669,서울특별시 동작구 상도로 164,,
2021_21670,서울특별시 동작구 상도로 164,,
2021_21677,서울특별시 동작구 상도로 164,,
2021_21678,서울특별시 동작구 상도로 164,,
2021_21679,서울특별시 동작구 상도로 164,,
2021_21680,서울특별시 동작구 상도로 164,,
2021_21681,서울특별시 동작구 상도로 164,,
2021_21682,서울특별시 동작구 상도로 164,,
2021_21685,서울특별시 동작구 상도로 164,,
2021_21686,서울특별시 동작구 상도로 164,,
2021_21687,서울특별시 동작구 상도로 164,,
2021_21688,서울특별시 동작구 상도로 164,,
2021_21689,서울특별시 동작구 상도로 164,,
2021_21690,서울특별시 동작구 상도로 164,,
2021_21691,서울특별시 동작구 상도로 164,,
2021_21692,서울특별시 동작구 상도로 164,,
2021_21693,서울특별시 동작구 상도로 164,,
2021_21694,서울특별시 동작구 상도로 164,,
2021_21695,서울특별시 동작구 상도로 164,,
2021_21696,서울특별시 동작구 상도로 164,,
2021_21697,서울특별시 동작구 상도로 164,,
2021_21698,서울특별시 동작구 상도로 164,,
2021_21699,서울특별시 동작구 상도로 164,,
2021_21700,서울특별시 동작구 상도로 164,,
2021_21704,서울특별시 동작구 상도로 164,,
2021_21705,서울특별시 동작구 상도로 164,,
2021_21706,서울특별시 동작구 상도로 164,,
2021_21707,서울특별시 동작구 상도로 164,,
2021_21708,서울특별시 동작구 상도로 164,,
2021_21709,서울특별시 동작구 상도로 164,,
2021_21710,서울특별시 동작구 상도로 164,,
2021_21711,서울특별시 동작구 상도로 164,,
2021_21712,서울특별시 동작구 상도로 164,,
2021_21713,서울특별시 동작구 상도로 164,,
2021_21714,서울특별시 동작구 상도로 164,,
2021_21715,서울특별시 동작구 상도로 164,,
2021_21716,서울특별시 동작구 상도로 164,,
2021_21717,서울특별시 동작구 상도로 164,,
2021_21718,서울특별시 동작구 상도로 164,,
2021_21719,서울특별시 동작구 상도로 164,,
2021_21720,서울특별시 동작구 상도로 164,,
2021_21721,서울특별시 동작구 상도로 164,,
2021_21723,서울특별시 동작구 상도로 164,,
2021_21725,서울특별시 동작구 상도로 164,,
2021_21726,서울특별시 동작구 상도로 164,,
2021_21727,서울특별시 동작구 상도로 164,,
2021_21728,서울특별시 동작구 상도로 164,,
2021_21729,서울특별시 동작구 상도로 164,,
2021_21730,서울특별시 동작구 상도로 164,,
2021_21731,서울특별시 동작구 상도로 164,,
2021_21732,서울특별시 동작구 상도로 164,,
2021_21734,서울특별시 동작구 상도로 164,,
2021_21735,서울특별시 동작구 상도로 164,,
2021_21739,서울특별시 동작구 상도로 164,,
2021_21740,서울특별시 동작구 상도로 164,,
2021_21754,서울특별시 동작구 상도로 164,,
2021_21764,서울특별시 동작구 상도로 164,,
2021_21765,서울특별시 동작구 상도로 164,,
2021_21766,서울특별시 동작구 상도로 164,,
2021_21767,서울특별시 동작구 상도로 164,,
2021_21768,서울특별시 동작구 상도로 164,,
2021_21769,서울특별시 동작구 상도로 164,,
2021_21770,서울특별시 동작구 상도로 164,,
2021_21771,서울특별시 동작구 상도로 164,,
2021_21772,서울특별시 동작구 상도로 164,,
2021_21773,서울특별시 동작구 상도로 164,,
2021_21777,서울특별시 동작구 상도로 164,,
2021_21778,서울특별시 동작구 상도로 164,,
2021_21779,서울특별시 동작구 상도로 164,,
2021_21780,서울특별시 동작구 상도로 164,,
2021_21781,서울특별시 동작구 상도로 164,,
2021_21782,서울특별시 동작구 상도로 164,,
2021_21783,서울특별시 동작구 상도로 164,,
2021_21784,서울특별시 동작구 상도로 164,,
2021_21785,서울특별시 동작구 상도로 164,,
2021_21786,서울특별시 동작구 상도로 164,,
2021_21787,서울특별시 동작구 상도로 164,,
2021_21788,서울특별시 동작구 상도로 164,,
2021_21789,서울특별시 동작구 상도로 164,,
2021_21790,서울특별시 동작구 상도로 164,,
2021_21795,서울특별시 동작구 상도로 164,,
2021_21797,서울특별시 동작구 상도로 164,,
2021_21798,서울특별시 동작구 상도로 164,,
2021_21801,서울특별시 동작구 상도로 164,,
2021_21805,서울특별시 동작구 상도로 164,,
2021_21806,서울특별시 동작구 상도로 164,,
2021_21807,서울특별시 동작구 상도로 164,,
2021_21808,서울특별시 동작구 상도로 164,,
2021_21809,서울특별시 동작구 상도로 164,,
2021_21812,서울특별시 동작구 상도로 164,,
2021_21813,서울특별시 동작구 상도로 164,,
2021_21814,서울특별시 동작구 상도로 164,,
2021_21815,서울특별시 동작구 상도로 164,,
2021_21989,서울특별시 서초구 신반포로 32,,
2021_22012,서울특별시 서초구 나루터로4길 39,,
2021_22017,서울특별시 서초구 신반포로 45,,
2021_22962,서울특별시 서초구 나루터로4길 49,,
2021_22970,서울특별시 강동구 진황도로 12,,
2021_23041,서울특별시 용산구 한강대로62길 45-1,,
2021_23094,서울특별시 노원구 노원로1길 103,,
2021_23315,서울특별시 서초구 신반포로 45,,
2021_23665,서울특별시 서초구 잠원로 195,,
2021_23670,서울특별시 서초구 신반포로 32,,
2021_23671,서울특별시 서초구 신반포로 9,,
2021_23672,서울특별시 서초구 잠원로 195,,
2021_23690,서울특별시 서초구 잠원로 195,,
2021_23910,서울특별시 서초구 나루터로4길 39,,
2021_23917,서울특별시 서초구 나루터로4길 39,,
2021_24178,서울특별시 서초구 신반포로 45,,
2021_24414,서울특별시 서초구 신반포로 9,,
2021_24416,서울특별시 서초구 신반포로 32,,
2021_24765,서울특별시 금천구 시흥대로 291-1,,
2021_24884,서울특별시 서초구 신반포로 32,,
2021_24904,서울특별시 서초구 나루터로4길 28,,
2021_24963,서울특별시 동작구 사당로23길 4,,
2021_24978,서울특별시 동대문구 왕산로 21-14,,
2021_24982,서울특별시 동대문구 왕산로 21-14,,
2021_24991,서울특별시 동대문구 왕산로 21-14,,
2021_24992,서울특별시 동대문구 왕산로 21-14,,
2021_24993,서울특별시 동대문구 왕산로 21-14,,
2021_24994,서울특별시 동대문구 왕산로 21-14,,
2021_24995,서울특별시 동대문구 왕산로 21-14,,
2021_24996,서울특별시 동대문구 왕산로 21-14,,
2021_25001,서울특별시 동대문구 왕산로 21-14,,
2021_25002,서울특별시 동대문구 왕산로 21-14,,
2021_25003,서울특별시 동대문구 왕산로 21-14,,
2021_25004,서울특별시 동대문구 왕산로 21-14,,
2021_25005,서울특별시 동대문구 왕산로 21-14,,
2021_25011,서울특별시 동대문구 왕산로 21-14,,
2021_25016,서울특별시 동대문구 왕산로 21-14,,
2021_25017,서울특별시 동대문구 왕산로 21-14,,
2021_25018,서울특별시 동대문구 왕산로 21-14,,
2021_25019,서울특별시 동대문구 왕산로 21-14,,
2021_25021,서울특별시 동대문구 왕산로 21-14,,
2021_25027,서울특별시 동대문구 왕산로 21-14,,
2021_25032,서울특별시 동대문구 왕산로 21-14,,
2021_25034,서울특별시 동대문구 왕산로 21-14,,
2021_25038,서울특별시 동대문구 왕산로 21-14,,
