동별(1),동별(2),동별(3),2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
동별(1),동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
합계,용산구,이촌1동,29255,2.86,10229,28961,2.86,10126,26632,2.86,9312,25707,2.86,8988,25513,2.86,8921
합계,용산구,이촌2동,9005,1.22,7381,8808,1.22,7220,8374,1.22,6864,8094,1.22,6634,7932,1.22,6502
합계,용산구,이태원1동,9222,0.57,16179,8764,0.57,15375,8126,0.57,14256,7947,0.57,13942,7799,0.57,13682
합계,용산구,이태원2동,10811,0.86,12571,10795,0.86,12552,10604,0.86,12330,10427,0.86,12124,10223,0.86,11887
합계,용산구,서빙고동,14102,2.8,5036,14000,2.8,5000,13912,2.8,4969,13458,2.8,4806,13141,2.8,4693
합계,용산구,보광동,15862,0.71,22341,15531,0.71,21875,14708,0.71,20715,14060,0.71,19803,12420,0.71,17493
합계,용산구,청파동,20661,0.91,22704,20496,0.91,22523,20076,0.9,22307,19833,0.9,22037,19616,0.91,21556
합계,용산구,원효로1동,16630,0.59,28186,16730,0.59,28356,16577,0.59,28097,17774,0.59,30125,17688,0.59,29980
합계,용산구,한강로동,19635,2.9,6771,22097,2.9,7620,23411,2.9,8073,22886,2.9,7892,22691,2.9,7824
합계,용산구,한남동,23704,3.01,7875,23761,3.01,7894,22941,3.01,7622,22054,3.01,7327,19911,3.01,6615
합계,성동구,소계,308979,16.86,18327,300505,16.86,17822,292672,16.86,17359,288234,16.82,17136,284766,16.82,16930
합계,성동구,왕십리2동,17744,0.41,43278,17416,0.41,42478,16819,0.41,41022,16688,0.41,40702,16481,0.41,40198
합계,성동구,마장동,24035,1.05,22890,23459,1.05,22342,22991,1.05,21896,22706,1.05,21625,22233,1.05,21174
합계,성동구,사근동,13543,1.1,12312,13512,1.1,12284,13505,1.1,12277,14082,1.1,12802,14141,1.1,12855
합계,성동구,행당1동,16463,0.59,27903,14363,0.59,24344,14193,0.59,24056,13996,0.59,23722,13984,0.59,23702
합계,성동구,행당2동,24640,0.42,58667,24151,0.42,57502,23376,0.42,55657,23148,0.42,55114,22933,0.42,54602
합계,성동구,응봉동,16188,0.57,28400,15824,0.57,27761,15458,0.57,27119,15100,0.57,26491,15000,0.57,26316
합계,성동구,금호1가동,15954,0.46,34683,15795,0.46,34337,15315,0.46,33293,15137,0.46,32907,14841,0.46,32263
합계,성동구,금호4가동,15227,0.84,18127,14842,0.84,17669,14452,0.84,17205,14228,0.84,16938,14284,0.84,17005
합계,성동구,성수1가1동,17168,1.98,8671,16851,1.97,8554,16814,1.97,8535,16407,1.97,8328,15681,1.97,7960
합계,성동구,성수1가2동,14735,0.89,16556,13738,0.89,15436,12874,0.89,14465,12322,0.89,13845,12134,0.89,13634
