"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"202112","1호선","청량리(서울시립대입구)","310669","220908","311345","221568","20220103"
"202112","1호선","종로5가","359249","220044","362984","210306","20220103"
"202112","1호선","종로3가","407934","249355","375067","234742","20220103"
"202112","1호선","종각","755897","116282","740655","108719","20220103"
"202112","1호선","제기동","217819","226280","208609","241771","20220103"
"202112","1호선","서울역","1023496","158933","992919","149469","20220103"
"202112","1호선","동묘앞","112756","122515","119021","123248","20220103"
"202112","1호선","시청","504322","65715","504450","65083","20220103"
"202112","1호선","동대문","203911","104871","186986","102595","20220103"
"202112","1호선","신설동","261608","101018","255008","97747","20220103"
"202112","2호선","방배","370160","63384","391002","62418","20220103"
"202112","2호선","잠실나루","295802","69511","284133","69653","20220103"
"202112","2호선","왕십리(성동구청)","400478","44846","339296","38549","20220103"
"202112","2호선","삼성(무역센터)","1316032","105062","1329333","96936","20220103"
"202112","2호선","교대(법원.검찰청)","722883","127929","820071","143147","20220103"
"202112","2호선","이대","311527","40478","326661","42304","20220103"
"202112","2호선","을지로4가","255754","76676","254756","74906","20220103"
"202112","2호선","용답","59726","15472","59331","15432","20220103"
"202112","2호선","충정로(경기대입구)","215278","42287","231078","42115","20220103"
"202112","2호선","동대문역사문화공원(DDP)","286952","48376","327550","51074","20220103"
"202112","2호선","성수","857242","95402","938218","97223","20220103"
"202112","2호선","한양대","190894","11090","203182","11286","20220103"
"202112","2호선","신설동","66641","27957","65309","29919","20220103"
"202112","2호선","문래","486820","67482","501625","66648","20220103"
"202112","2호선","신정네거리","213219","59590","220374","60611","20220103"
"202112","2호선","영등포구청","513079","91349","525031","89727","20220103"
"202112","2호선","양천구청","139297","39410","147569","40048","20220103"
"202112","2호선","뚝섬","527139","52803","561612","53527","20220103"
"202112","2호선","당산","432468","50543","503801","55349","20220103"
"202112","2호선","아현","216985","55583","208737","55013","20220103"
"202112","2호선","대림(구로구청)","544247","101581","555254","105474","20220103"
"202112","2호선","종합운동장","157245","33220","171325","34300","20220103"
"202112","2호선","잠실새내","479495","89134","483488","89009","20220103"
"202112","2호선","서초","497366","64735","476180","64091","20220103"
"202112","2호선","낙성대(강감찬)","650182","90234","619644","92040","20220103"
"202112","2호선","을지로입구","982885","86779","988632","80990","20220103"
"202112","2호선","강변(동서울터미널)","743776","94027","720856","90651","20220103"
"202112","2호선","홍대입구","1499404","82749","1574086","78997","20220103"
"202112","2호선","강남","2039844","153264","2034226","137102","20220103"
"202112","2호선","도림천","29636","6423","30387","7049","20220103"
"202112","2호선","구의(광진구청)","543750","89370","532520","91337","20220103"
"202112","2호선","을지로3가","506065","67899","507522","66751","20220103"
"202112","2호선","시청","540680","45989","509452","41650","20220103"
"202112","2호선","신촌","791705","103893","810826","100750","20220103"
"202112","2호선","신림","1539965","193877","1480893","197464","20220103"
"202112","2호선","신대방","604102","107709","581850","109601","20220103"
"202112","2호선","잠실(송파구청)","1818728","157744","1800757","150693","20220103"
"202112","2호선","봉천","514606","121295","466119","121944","20220103"
"202112","2호선","서울대입구(관악구청)","1136453","158698","1118181","151755","20220103"
"202112","2호선","역삼","1149888","133013","1284203","133875","20220103"
"202112","2호선","건대입구","893632","77515","962717","81692","20220103"
"202112","2호선","합정","798384","58214","850900","57604","20220103"
"202112","2호선","선릉","1220815","187935","1087432","165934","20220103"
"202112","2호선","용두(동대문구청)","44326","20365","44259","21497","20220103"
"202112","2호선","신당","291309","82439","306517","84251","20220103"
"202112","2호선","구로디지털단지","1423173","146156","1419575","148585","20220103"
"202112","2호선","신도림","1133288","162357","1133622","153213","20220103"
"202112","2호선","사당","833943","151989","936935","146637","20220103"
"202112","2호선","상왕십리","322628","59983","311510","60404","20220103"
"202112","2호선","신답","35129","8071","40152","9016","20220103"
"202112","3호선","불광","321928","117579","344114","129643","20220103"
"202112","3호선","대청","213509","50414","194287","48651","20220103"
"202112","3호선","충무로","22","2","0","0","20220103"
"202112","3호선","오금","138506","24443","123397","23180","20220103"
"202112","3호선","학여울","41876","12063","44677","11948","20220103"
"202112","3호선","가락시장","171954","61759","168277","60417","20220103"
"202112","3호선","대치","222269","53576","224314","51355","20220103"
"202112","3호선","동대입구","188309","27373","197411","29723","20220103"
"202112","3호선","수서","379436","89361","386512","87295","20220103"
"202112","3호선","경찰병원","154512","35698","153381","36579","20220103"
"202112","3호선","잠원","101462","26594","100158","25895","20220103"
"202112","3호선","도곡","115694","21970","119419","19954","20220103"
"202112","3호선","매봉","266825","52860","259136","48550","20220103"
"202112","3호선","무악재","79041","24476","78094","26906","20220103"
"202112","3호선","일원","203133","53728","195514","53141","20220103"
"202112","3호선","을지로3가","225223","46869","234470","44938","20220103"
"202112","3호선","약수","277379","70072","271526","66411","20220103"
"202112","3호선","종로3가","210194","50337","250323","55058","20220103"
"202112","3호선","안국","457832","66179","477853","67704","20220103"
"202112","3호선","구파발","454299","98956","434568","94981","20220103"
"202112","3호선","옥수","189472","48376","199238","49109","20220103"
"202112","3호선","압구정","760131","113237","817241","111286","20220103"
"202112","3호선","고속터미널","1055775","144347","1054989","138220","20220103"
"202112","3호선","금호","167531","46150","155447","45179","20220103"
"202112","3호선","양재(서초구청)","878763","128125","961970","129476","20220103"
"202112","3호선","경복궁(정부서울청사)","456804","66583","456338","63429","20220103"
"202112","3호선","녹번","346758","66430","307051","65478","20220103"
"202112","3호선","연신내","773989","219200","727150","213071","20220103"
"202112","3호선","신사","769003","66071","815919","63197","20220103"
"202112","3호선","홍제","341161","117295","320988","115650","20220103"
"202112","3호선","교대(법원.검찰청)","299560","56554","194672","34731","20220103"
"202112","3호선","남부터미널(예술의전당)","669418","100762","689398","101702","20220103"
"202112","3호선","독립문","126293","56741","133374","55705","20220103"
"202112","3호선","지축","96731","21583","92614","20576","20220103"
"202112","4호선","삼각지","110593","20002","128719","20921","20220103"
"202112","4호선","미아사거리","603754","152744","580222","152209","20220103"
"202112","4호선","동대문역사문화공원(DDP)","363487","49989","333652","44671","20220103"
"202112","4호선","회현(남대문시장)","531190","145939","570135","146201","20220103"
"202112","4호선","충무로","556721","102383","585230","102767","20220103"
"202112","4호선","서울역","244273","31275","411988","37820","20220103"
"202112","4호선","한성대입구(삼선교)","302986","62951","295841","61759","20220103"
"202112","4호선","당고개","272832","75008","242158","73874","20220103"
"202112","4호선","수유(강북구청)","761220","165420","759740","166307","20220103"
"202112","4호선","미아(서울사이버대학)","307397","94244","290712","96599","20220103"
"202112","4호선","숙대입구(갈월)","300467","45490","295217","42365","20220103"
"202112","4호선","쌍문","659053","136571","593050","135066","20220103"
"202112","4호선","길음","441814","95193","425926","95820","20220103"
"202112","4호선","혜화","787836","111027","798457","109440","20220103"
"202112","4호선","사당","605576","72618","504803","71871","20220103"
"202112","4호선","총신대입구(이수)","379354","123924","415589","130922","20220103"
"202112","4호선","이촌(국립중앙박물관)","160160","37475","178033","39500","20220103"
"202112","4호선","노원","440952","75700","504179","75467","20220103"
"202112","4호선","창동","526631","161414","560510","167430","20220103"
"202112","4호선","동대문","370786","125715","390668","123456","20220103"
"202112","4호선","신용산","394284","44486","418722","44856","20220103"
"202112","4호선","명동","542595","53954","578115","55399","20220103"
"202112","4호선","성신여대입구(돈암)","483174","72221","463258","70670","20220103"
"202112","4호선","동작(현충원)","23601","13341","28139","13194","20220103"
"202112","4호선","남태령","26065","7599","21258","6938","20220103"
"202112","4호선","상계","410976","100132","375350","98932","20220103"
"202112","5호선","신길","98968","9786","107316","10243","20220103"
"202112","5호선","강동","408836","86710","387515","84014","20220103"
"202112","5호선","신금호","139709","31957","141838","35996","20220103"
"202112","5호선","길동","155977","62643","164777","64721","20220103"
"202112","5호선","강일","77546","25265","77257","25098","20220103"
"202112","5호선","아차산(어린이대공원후문)","317002","83296","304650","81726","20220103"
"202112","5호선","동대문역사문화공원(DDP)","65436","7564","77307","8246","20220103"
"202112","5호선","마포","318205","53283","328622","52715","20220103"
"202112","5호선","굽은다리(강동구민회관앞)","204887","59856","198549","55507","20220103"
"202112","5호선","답십리","360370","68212","325725","66676","20220103"
"202112","5호선","올림픽공원(한국체대)","89368","30395","79313","28174","20220103"
"202112","5호선","을지로4가","114531","39807","118399","38892","20220103"
"202112","5호선","발산","455533","78004","475091","75358","20220103"
"202112","5호선","청구","83466","22118","79549","17688","20220103"
"202112","5호선","방이","151596","38986","157706","38970","20220103"
"202112","5호선","명일","174760","57576","179998","60443","20220103"
"202112","5호선","장한평","413551","77396","409875","78790","20220103"
"202112","5호선","신정(은행정)","315470","53078","249988","51546","20220103"
"202112","5호선","왕십리(성동구청)","107083","20374","125893","19973","20220103"
"202112","5호선","행당","172826","42335","153815","38685","20220103"
"202112","5호선","공덕","318324","37664","343702","35498","20220103"
"202112","5호선","우장산","306300","74738","298741","78121","20220103"
"202112","5호선","서대문","410440","57092","418870","53799","20220103"
"202112","5호선","개화산","114933","33410","108598","32961","20220103"
"202112","5호선","충정로(경기대입구)","108908","12541","109956","12797","20220103"
"202112","5호선","광나루(장신대)","296996","60313","273433","57957","20220103"
"202112","5호선","마천","136460","48066","132677","49888","20220103"
"202112","5호선","오목교(목동운동장앞)","516845","71816","558807","71856","20220103"
"202112","5호선","애오개","143845","31905","145615","31161","20220103"
"202112","5호선","마장","118278","34655","110973","33556","20220103"
"202112","5호선","마곡","239756","34573","238717","33797","20220103"
"202112","5호선","고덕","199651","55581","197455","55131","20220103"
"202112","5호선","김포공항","191693","28522","178405","29846","20220103"
"202112","5호선","미사","371416","59829","368353","59778","20220103"
"202112","5호선","영등포구청","80642","17148","83966","17158","20220103"
"202112","5호선","천호(풍납토성)","404436","105761","394611","107909","20220103"
"202112","5호선","양평","169878","24507","167763","24234","20220103"
"202112","5호선","여의나루","203601","22894","234821","22473","20220103"
"202112","5호선","영등포시장","215137","56445","223297","57760","20220103"
"202112","5호선","여의도","669824","47553","700698","44174","20220103"
"202112","5호선","하남검단산","117877","36165","112777","36208","20220103"
"202112","5호선","목동","370302","70937","403213","71907","20220103"
"202112","5호선","오금","81084","17657","80524","16993","20220103"
"202112","5호선","종로3가","263264","77553","256876","81859","20220103"
"202112","5호선","송정","136233","43154","127634","42042","20220103"
"202112","5호선","방화","137066","43624","132502","42482","20220103"
"202112","5호선","하남시청(덕풍?신장)","122772","49470","118553","50653","20220103"
"202112","5호선","군자(능동)","271065","35537","300073","36942","20220103"
"202112","5호선","까치산","648808","134073","617345","136081","20220103"
"202112","5호선","하남풍산","90906","21205","92041","21327","20220103"
"202112","5호선","개롱","132668","39863","138690","41299","20220103"
"202112","5호선","광화문(세종문화회관)","713028","65033","744706","62995","20220103"
"202112","5호선","상일동","331600","76397","300767","73478","20220103"
"202112","5호선","화곡","639132","123907","592399","119035","20220103"
"202112","5호선","둔촌동","179326","53193","179195","53716","20220103"
"202112","5호선","거여","193951","52171","183060","51793","20220103"
"202112","6호선","태릉입구","121431","25561","132599","26465","20220103"
"202112","6호선","창신","77475","16150","62383","15267","20220103"
"202112","6호선","연신내","26","0","0","0","20220103"
"202112","6호선","효창공원앞","152378","33059","136119","31220","20220103"
"202112","6호선","마포구청","319351","67871","287917","61479","20220103"
"202112","6호선","광흥창(서강)","196613","39541","190729","39057","20220103"
"202112","6호선","화랑대(서울여대입구)","266684","40598","206470","36108","20220103"
"202112","6호선","봉화산(서울의료원)","191667","41030","177701","40803","20220103"
"202112","6호선","합정","332715","34052","324775","31844","20220103"
"202112","6호선","삼각지","153499","14121","134640","11920","20220103"
"202112","6호선","월드컵경기장(성산)","68806","37019","76700","37239","20220103"
"202112","6호선","증산(명지대앞)","212246","61236","208197","62054","20220103"
"202112","6호선","불광","86847","33395","88297","27654","20220103"
"202112","6호선","공덕","411388","63228","400544","58915","20220103"
"202112","6호선","이태원","261242","26692","276930","27411","20220103"
"202112","6호선","신당","202757","32546","207715","31070","20220103"
"202112","6호선","월곡(동덕여대)","244882","59101","241300","59368","20220103"
"202112","6호선","구산","163552","42856","110309","44952","20220103"
"202112","6호선","상수","218372","18844","249152","19166","20220103"
"202112","6호선","한강진","235437","13275","271693","13159","20220103"
"202112","6호선","망원","320664","68673","349017","71844","20220103"
"202112","6호선","약수","76822","19408","77318","18607","20220103"
"202112","6호선","역촌","77616","27413","95618","27012","20220103"
"202112","6호선","상월곡(한국과학기술연구원)","131888","34141","114032","33180","20220103"
"202112","6호선","버티고개","41838","10318","41339","12802","20220103"
"202112","6호선","석계","264283","64591","274982","64866","20220103"
"202112","6호선","독바위","56098","16387","57368","20146","20220103"
"202112","6호선","새절(신사)","268559","71699","246247","71878","20220103"
"202112","6호선","대흥(서강대앞)","173751","36262","178738","36326","20220103"
"202112","6호선","동묘앞","160788","57379","167347","53093","20220103"
"202112","6호선","돌곶이","199731","49586","183185","49242","20220103"
"202112","6호선","안암(고대병원앞)","246564","30259","244274","28606","20220103"
"202112","6호선","디지털미디어시티","305505","46558","334073","46896","20220103"
