"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"201512","1호선","종로5가","630988","276092","647340","266173","20160108"
"201512","1호선","청량리(지하)","605320","355266","633121","359798","20160108"
"201512","1호선","제기동","305975","311257","300744","327630","20160108"
"201512","1호선","신설동","403786","130091","391341","124825","20160108"
"201512","1호선","동대문","377067","144125","452903","152712","20160108"
"201512","1호선","동묘앞","171359","133923","189970","135224","20160108"
"201512","1호선","종로3가","829653","402176","783580","370659","20160108"
"201512","1호선","종각","1426031","169895","1339485","160840","20160108"
"201512","1호선","시청","765950","102259","770430","102567","20160108"
"201512","1호선","서울역","1795435","235606","1574932","216587","20160108"
"201512","2호선","신당","377869","110203","406243","112280","20160108"
"201512","2호선","동대문역사문화공원","528920","60751","617763","66432","20160108"
"201512","2호선","을지로4가","322487","102059","322400","98654","20160108"
"201512","2호선","을지로3가","559060","96431","549475","92388","20160108"
"201512","2호선","용두","48977","23564","51641","24942","20160108"
"201512","2호선","시청","808125","64413","784747","59842","20160108"
"201512","2호선","잠실","2592617","217721","2412832","204420","20160108"
"201512","2호선","잠실나루","492392","88145","461754","88615","20160108"
"201512","2호선","강변","1469451","150386","1455264","148609","20160108"
"201512","2호선","구의","670512","114148","653143","115420","20160108"
"201512","2호선","건대입구","1372114","101279","1513953","105828","20160108"
"201512","2호선","성수","693124","103289","768641","106070","20160108"
"201512","2호선","뚝섬","424409","69387","448916","70187","20160108"
"201512","2호선","한양대","353981","16498","407183","17980","20160108"
"201512","2호선","왕십리(성동구청)","597680","64522","511368","56124","20160108"
"201512","2호선","상왕십리","291201","62312","269824","63022","20160108"
"201512","2호선","신천","752968","119939","749058","116666","20160108"
"201512","2호선","종합운동장","370417","50448","413654","53853","20160108"
"201512","2호선","삼성","1818471","132454","1896634","126937","20160108"
"201512","2호선","선릉","1584419","207434","1363296","177262","20160108"
"201512","2호선","역삼","1327053","169715","1481049","173865","20160108"
"201512","2호선","강남","3010868","177597","3105321","160716","20160108"
"201512","2호선","교대","1034590","175123","1160057","191589","20160108"
"201512","2호선","서초","660216","89934","674404","90761","20160108"
"201512","2호선","방배","586019","84454","595183","83213","20160108"
"201512","2호선","사당","1278340","212061","1450268","199854","20160108"
"201512","2호선","낙성대","869739","114006","823803","114636","20160108"
"201512","2호선","서울대입구","1457247","219363","1424349","211021","20160108"
"201512","2호선","봉천","611462","149071","554027","150352","20160108"
"201512","2호선","신림","2125973","262299","2063113","267429","20160108"
"201512","2호선","신대방","759169","128569","711302","133057","20160108"
