"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"202012","1호선","제기동","193158","192893","189518","206219","20210103"
"202012","1호선","동대문","169229","88712","158990","87422","20210103"
"202012","1호선","서울역","708925","133421","674149","123397","20210103"
"202012","1호선","종로3가","305614","187492","275379","175042","20210103"
"202012","1호선","종로5가","284517","180822","288101","174176","20210103"
"202012","1호선","동묘앞","98631","110088","103368","111166","20210103"
"202012","1호선","종각","576469","91323","557323","84714","20210103"
"202012","1호선","청량리(서울시립대입구)","264598","200056","263765","201184","20210103"
"202012","1호선","시청","379344","49801","376925","46696","20210103"
"202012","1호선","신설동","224233","85301","222952","81327","20210103"
"202012","2호선","을지로3가","359909","52805","354405","51400","20210103"
"202012","2호선","성수","610176","77187","670995","78681","20210103"
"202012","2호선","당산","353282","40427","410307","44250","20210103"
"202012","2호선","종합운동장","114510","23283","125721","23120","20210103"
"202012","2호선","강남","1481312","125963","1449540","111068","20210103"
"202012","2호선","신설동","52948","22704","50560","24425","20210103"
"202012","2호선","양천구청","109843","30430","119527","31349","20210103"
"202012","2호선","사당","632606","113364","701380","109488","20210103"
"202012","2호선","신도림","925108","132310","902857","124111","20210103"
"202012","2호선","충정로(경기대입구)","178326","34710","187629","34624","20210103"
"202012","2호선","방배","294978","49637","308785","48837","20210103"
"202012","2호선","선릉","987725","154716","880230","136667","20210103"
"202012","2호선","신정네거리","166544","46618","174011","48322","20210103"
"202012","2호선","구의(광진구청)","440286","72980","433995","75648","20210103"
"202012","2호선","도림천","25286","4966","26388","5275","20210103"
"202012","2호선","이대","221088","31657","227075","32534","20210103"
"202012","2호선","역삼","895543","108055","970967","107674","20210103"
"202012","2호선","교대(법원.검찰청)","583124","99995","648211","109139","20210103"
"202012","2호선","한양대","146622","9555","150168","9925","20210103"
"202012","2호선","합정","561383","45996","585192","45518","20210103"
"202012","2호선","문래","384889","52836","393826","52047","20210103"
"202012","2호선","시청","427538","36190","412998","32133","20210103"
"202012","2호선","신당","236875","70526","244293","72616","20210103"
"202012","2호선","홍대입구","892596","65448","925474","62387","20210103"
"202012","2호선","을지로4가","213258","70918","209548","68545","20210103"
"202012","2호선","강변(동서울터미널)","560010","75056","566810","73164","20210103"
"202012","2호선","용두(동대문구청)","34963","17454","36483","18439","20210103"
"202012","2호선","신촌","580407","83587","598972","80591","20210103"
"202012","2호선","신대방","507865","86682","493271","88570","20210103"
"202012","2호선","용답","45188","13477","45221","12743","20210103"
"202012","2호선","뚝섬","372509","41076","403004","41751","20210103"
"202012","2호선","대림(구로구청)","484878","80938","495956","84267","20210103"
"202012","2호선","동대문역사문화공원(DDP)","212730","38531","237898","39678","20210103"
"202012","2호선","상왕십리","252275","45333","245282","45341","20210103"
"202012","2호선","왕십리(성동구청)","290150","36499","232198","31616","20210103"
"202012","2호선","건대입구","629054","62418","674812","65061","20210103"
"202012","2호선","을지로입구","740332","70050","748231","65108","20210103"
"202012","2호선","잠실새내","353037","66730","353625","67191","20210103"
"202012","2호선","잠실나루","236716","54118","228291","54356","20210103"
"202012","2호선","잠실(송파구청)","1224513","116119","1217835","110966","20210103"
"202012","2호선","삼성(무역센터)","936291","78989","946974","71334","20210103"
"202012","2호선","봉천","437363","99677","403719","100404","20210103"
"202012","2호선","낙성대(강감찬)","523162","74528","504896","76021","20210103"
"202012","2호선","영등포구청","423422","73508","430129","72319","20210103"
"202012","2호선","신림","1263269","155870","1221689","159099","20210103"
"202012","2호선","서초","389004","50401","381585","49897","20210103"
"202012","2호선","구로디지털단지","1179770","113736","1188175","116472","20210103"
"202012","2호선","아현","171759","46253","167040","45923","20210103"
"202012","2호선","신답","26417","7273","31347","7586","20210103"
"202012","2호선","서울대입구(관악구청)","887612","129969","866137","124398","20210103"
"202012","3호선","교대(법원.검찰청)","234452","42308","157822","27079","20210103"
"202012","3호선","고속터미널","765025","105692","775014","100413","20210103"
"202012","3호선","안국","312289","43248","320122","43407","20210103"
"202012","3호선","경복궁(정부서울청사)","313296","50512","307062","47913","20210103"
"202012","3호선","대치","173526","39878","173799","38217","20210103"
"202012","3호선","대청","165232","40253","150008","39144","20210103"
"202012","3호선","경찰병원","131560","28418","131319","29344","20210103"
"202012","3호선","약수","221761","56165","216865","53255","20210103"
"202012","3호선","충무로","13","2","0","0","20210103"
"202012","3호선","홍제","282025","97217","270372","96848","20210103"
"202012","3호선","압구정","588229","87574","626386","84552","20210103"
"202012","3호선","가락시장","140260","54242","138646","52490","20210103"
"202012","3호선","동대입구","141500","21446","147630","23124","20210103"
"202012","3호선","을지로3가","169199","39600","177233","38544","20210103"
"202012","3호선","지축","58601","11685","57545","11963","20210103"
"202012","3호선","매봉","216246","40273","206732","36771","20210103"
"202012","3호선","연신내","660401","179204","616738","173704","20210103"
"202012","3호선","녹번","272569","51460","247527","51124","20210103"
"202012","3호선","종로3가","157536","39865","183033","43233","20210103"
"202012","3호선","무악재","64631","19245","64770","21227","20210103"
"202012","3호선","금호","138766","36662","131700","36620","20210103"
"202012","3호선","오금","113017","18269","101167","17401","20210103"
"202012","3호선","신사","572684","52530","599777","49451","20210103"
"202012","3호선","도곡","92569","18409","95007","16568","20210103"
"202012","3호선","옥수","150052","38560","159458","38747","20210103"
"202012","3호선","남부터미널(예술의전당)","526309","75534","546062","75425","20210103"
"202012","3호선","잠원","77577","19256","77328","18819","20210103"
"202012","3호선","수서","269450","69076","278293","68228","20210103"
"202012","3호선","독립문","104346","48897","110634","48329","20210103"
"202012","3호선","구파발","365087","76750","347668","72998","20210103"
"202012","3호선","학여울","26824","8913","27637","8443","20210103"
"202012","3호선","불광","271321","93050","291596","102082","20210103"
"202012","3호선","일원","157538","40089","154921","39304","20210103"
"202012","3호선","양재(서초구청)","699062","92861","754738","93191","20210103"
"202012","4호선","쌍문","555373","111145","505950","110518","20210103"
"202012","4호선","길음","354485","76927","346156","77527","20210103"
"202012","4호선","신용산","266598","35053","281018","34985","20210103"
"202012","4호선","한성대입구(삼선교)","239955","49027","235536","48678","20210103"
"202012","4호선","창동","437634","129868","469910","135920","20210103"
"202012","4호선","상계","344098","81546","318538","80801","20210103"
"202012","4호선","수유(강북구청)","636625","135807","629750","136354","20210103"
"202012","4호선","성신여대입구(돈암)","361668","59071","347493","57388","20210103"
"202012","4호선","동대문","323208","108035","336905","106295","20210103"
"202012","4호선","노원","346023","60898","390823","59609","20210103"
"202012","4호선","총신대입구(이수)","308598","96249","337378","102268","20210103"
"202012","4호선","회현(남대문시장)","382122","104086","401675","103220","20210103"
"202012","4호선","숙대입구(갈월)","228527","36435","224644","34357","20210103"
"202012","4호선","혜화","519313","91465","513612","88648","20210103"
"202012","4호선","명동","329819","37735","343628","37891","20210103"
"202012","4호선","미아(서울사이버대학)","259652","79770","249512","82361","20210103"
"202012","4호선","동작(현충원)","33817","17791","37370","16958","20210103"
"202012","4호선","사당","446561","53116","371210","51091","20210103"
"202012","4호선","동대문역사문화공원(DDP)","280492","40253","262830","36318","20210103"
"202012","4호선","삼각지","78244","15940","86880","16319","20210103"
"202012","4호선","서울역","190881","26568","267412","29157","20210103"
"202012","4호선","이촌(국립중앙박물관)","113146","27385","126968","29448","20210103"
"202012","4호선","남태령","17840","5774","15005","5528","20210103"
"202012","4호선","당고개","217333","62549","198177","61517","20210103"
