"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"201812","1호선","시청","718629","108220","707398","105417","20190103"
"201812","1호선","신설동","372140","123951","363085","118731","20190103"
"201812","1호선","동묘앞","187159","145104","202403","146665","20190103"
"201812","1호선","청량리(서울시립대입구)","485919","323495","510272","329170","20190103"
"201812","1호선","종각","1240666","169334","1184445","158216","20190103"
"201812","1호선","제기동","287557","327772","278704","346642","20190103"
"201812","1호선","종로5가","562548","272479","579866","262041","20190103"
"201812","1호선","서울역","1573438","227511","1466566","219080","20190103"
"201812","1호선","동대문","341500","141192","386494","146658","20190103"
"201812","1호선","종로3가","684631","393051","649721","367217","20190103"
"201812","2호선","낙성대","805062","114887","764531","115445","20190103"
"201812","2호선","양천구청","164754","45700","172952","47039","20190103"
"201812","2호선","역삼","1259542","159022","1399085","161229","20190103"
"201812","2호선","신도림","1662655","224241","1655683","213801","20190103"
"201812","2호선","홍대입구","2488919","118818","2697140","116322","20190103"
"201812","2호선","신정네거리","230353","66229","234689","66607","20190103"
"201812","2호선","을지로3가","604586","92882","593336","92101","20190103"
"201812","2호선","신촌","1374785","148301","1403898","145811","20190103"
"201812","2호선","신대방","753576","131500","702095","132050","20190103"
"201812","2호선","합정","980164","75780","1068441","75808","20190103"
"201812","2호선","강변(동서울터미널)","1291145","147870","1275158","143715","20190103"
"201812","2호선","영등포구청","548822","105392","561177","103155","20190103"
"201812","2호선","신답","38470","10504","42252","11391","20190103"
"201812","2호선","왕십리(성동구청)","567352","63306","463060","53243","20190103"
"201812","2호선","아현","267569","65923","258045","65582","20190103"
"201812","2호선","서울대입구(관악구청)","1433156","211038","1380184","201976","20190103"
"201812","2호선","이대","549599","64843","580283","65161","20190103"
"201812","2호선","당산","597899","70347","659898","75929","20190103"
"201812","2호선","용답","67314","17041","68322","16921","20190103"
"201812","2호선","뚝섬","458721","62520","485846","63153","20190103"
"201812","2호선","건대입구","1252275","99780","1416099","104763","20190103"
"201812","2호선","강남","2921224","185634","3016683","167773","20190103"
"201812","2호선","종합운동장","311506","50477","340827","52642","20190103"
"201812","2호선","을지로4가","288194","92135","291196","87684","20190103"
"201812","2호선","상왕십리","375471","69363","353894","70323","20190103"
"201812","2호선","도림천","27886","6475","30303","7220","20190103"
"201812","2호선","용두(동대문구청)","49930","23907","50245","24804","20190103"
"201812","2호선","구의(광진구청)","634978","110731","609708","112098","20190103"
"201812","2호선","대림(구로구청)","780513","118184","805227","121899","20190103"
