NO,address,latitude,longitude
2022_00001,서울특별시 구로구 경인로 662,37.50812307,126.888213
2022_00002,서울특별시 강서구 마곡중앙1로 71,37.55690832,126.8178746
2022_00003,서울특별시 영등포구 양평로24길 9,37.54028033,126.8917458
2022_00004,서울특별시 동작구 여의대방로10길 14,37.49632776,126.9139635
2022_00005,서울특별시 중랑구 용마산로 252,37.575176,127.0892225
2022_00006,서울특별시 중랑구 면목로69길 16,37.58725262,127.0863442
2022_00007,서울특별시 노원구 한글비석로 530,37.66693298,127.0591649
2022_00008,서울특별시 성북구 길음로 33,37.60508329,127.0220786
2022_00009,서울특별시 동대문구 정릉천동로 36,37.57547229,127.0371123
2022_00010,서울특별시 동대문구 정릉천동로 36,37.57547229,127.0371123
2022_00011,서울특별시 종로구 대학로 47,37.57546396,127.0018417
2022_00012,서울특별시 동대문구 한천로63길 10,37.6049031,127.0637064
2022_00013,서울특별시 성북구 돌곶이로8길 22,37.60652448,127.0622612
2022_00014,서울특별시 서초구 서운로 197,37.49948267,127.0208201
2022_00015,서울특별시 강남구 삼성로 212,37.49961577,127.0659154
2022_00016,서울특별시 송파구 중대로 24,37.48812575,127.1110591
2022_00017,서울특별시 서초구 서초중앙로 188,37.49735041,127.013538
2022_00018,서울특별시 서초구 서초대로65길 13-10,37.49742848,127.0191506
2022_00019,서울특별시 동작구 상도로 346-1,37.49678998,126.9516675
2022_00020,서울특별시 동작구 양녕로 220,37.50069236,126.9455364
2022_00021,서울특별시 양천구 목동중앙남로9길 25,37.53783529,126.8650617
2022_00022,서울특별시 송파구 올림픽로 435,37.5213593,127.1049717
2022_00023,서울특별시 송파구 양재대로 1218,37.51669099,127.1377124
2022_00024,서울특별시 도봉구 우이천로4라길 11-14,37.63304517,127.0422797
2022_00025,서울특별시 성동구 독서당로 191,37.54459287,127.0119843
2022_00026,서울특별시 은평구 연서로 28,37.60159593,126.9162426
2022_00027,서울특별시 광진구 아차산로 503-23,37.5431621,127.0956083
2022_00028,서울특별시 도봉구 노해로45길 26,37.6509017,127.0268558
2022_00029,서울특별시 성동구 왕십리로 16,37.53925787,127.0446715
2022_00030,서울특별시 중랑구 신내로 128,37.60894053,127.0978091
2022_00031,서울특별시 송파구 양재대로 1218,37.51669099,127.1377124
2022_00032,서울특별시 용산구 이촌로87길 13,37.51899266,126.9776769
2022_00033,서울특별시 마포구 성미산로23길 4,37.56374955,126.9217919
2022_00034,서울특별시 동작구 상도로 346-1,37.49678998,126.9516675
2022_00035,서울특별시 강북구 한천로148길 26,37.64311016,127.0248645
2022_00036,서울특별시 관악구 청룡10길 45,37.47723093,126.9430557
2022_00037,서울특별시 강남구 삼성로 417,37.50459597,127.057495
2022_00038,서울특별시 강동구 고덕로 131,37.55516675,127.1438388
2022_00039,서울특별시 서초구 효령로45길 11,37.4841868,127.0084942
2022_00040,서울특별시 송파구 송파대로 345,37.49761457,127.1025318
2022_00041,서울특별시 성동구 무학로 33,37.56916416,127.0263479
2022_00042,서울특별시 종로구 대학로 47,37.57546396,127.0018417
2022_00043,서울특별시 강남구 삼성로111길 8,37.51473151,127.0517391
2022_00044,서울특별시 강남구 압구정로 201,37.53153417,127.0292731
2022_00045,서울특별시 강남구 삼성로 212,37.49961577,127.0659154
2022_00046,서울특별시 노원구 노원로22길 71,37.64855942,127.0758816
2022_00047,서울특별시 중랑구 면목로69길 16,37.58725262,127.0863442
2022_00048,서울특별시 강동구 고덕로62길 76,37.55084401,127.1515673
2022_00049,서울특별시 강서구 양천로73길 80,37.55415856,126.8743473
2022_00050,서울특별시 마포구 신수로2길 6,37.54202998,126.9344792
2022_00051,서울특별시 서대문구 통일로32길 14,37.58512385,126.9493962
2022_00052,서울특별시 영등포구 경인로 882,37.5175214,126.9107121
2022_00053,서울특별시 도봉구 우이천로4라길 11-14,37.63304517,127.0422797
2022_00054,서울특별시 강서구 공항대로2길 61,37.55870622,126.808901
2022_00055,서울특별시 강남구 언주로103길 16,37.50666001,127.0386458
2022_00056,서울특별시 마포구 상암산로1길 92,37.58275639,126.8820988
2022_00057,서울특별시 동대문구 서울시립대로 14,37.57207425,127.0472735
2022_00058,서울특별시 노원구 덕릉로71길 30,37.6508593,127.0696948
2022_00059,서울특별시 중구 난계로 169,37.56657481,127.0232614
2022_00060,서울특별시 은평구 증산로15길 35-10,37.58951522,126.9077405
2022_00061,서울특별시 용산구 원효로 40,37.53391601,126.9493026
2022_00062,서울특별시 강서구 우장산로8길 23,37.55333939,126.8414232
2022_00063,서울특별시 강서구 양천로75길 22-21,37.55068828,126.8764812
2022_00064,서울특별시 양천구 오목로9길 11,37.52311629,126.8429869
2022_00065,서울특별시 강동구 아리수로50길 50,37.55768646,127.1485777
2022_00066,서울특별시 양천구 목동서로 340,37.51942468,126.8640382
2022_00067,서울특별시 양천구 목동동로 10,37.50775811,126.86131
2022_00068,서울특별시 도봉구 덕릉로 350,37.64462722,127.0470777
2022_00069,서울특별시 강서구 수명로1길 110,37.55185777,126.8247079
2022_00070,서울특별시 은평구 통일로 660,37.60590087,126.9361429
2022_00071,서울특별시 성동구 금호산9가길 52,37.55256534,127.0189486
2022_00072,서울특별시 성동구 고산자로 160,37.55433983,127.0348842
2022_00073,서울특별시 성동구 독서당로 218,37.54262944,127.0155544
2022_00074,서울특별시 성북구 동소문로34길 24,37.59899275,127.0231395
2022_00075,서울특별시 성북구 정릉로 262,37.60368603,127.0121869
2022_00076,서울특별시 송파구 중대로 24,37.48812575,127.1110591
2022_00077,서울특별시 성북구 정릉로 262,37.60368603,127.0121869
2022_00078,서울특별시 강서구 공항대로2길 61,37.55870622,126.808901
2022_00079,서울특별시 용산구 보광로5길 40,37.52406939,127.0012827
2022_00080,서울특별시 성북구 정릉로 262,37.60368603,127.0121869
2022_00081,서울특별시 강서구 강서로 266,37.54826258,126.8409806
2022_00082,서울특별시 금천구 독산로58나길 56,37.4655208,126.9066755
2022_00083,서울특별시 강동구 아리수로93가길 110,37.57378021,127.1731798
2022_00084,서울특별시 송파구 올림픽로45길 26,37.52764501,127.1156221
2022_00085,서울특별시 영등포구 버드나루로 130,37.5305725,126.9080121
2022_00086,서울특별시 강남구 언주로103길 16,37.50666001,127.0386458
2022_00087,서울특별시 송파구 올림픽로 435,37.5213593,127.1049717
2022_00088,서울특별시 강동구 상일로 74,37.55136837,127.1747855
2022_00089,서울특별시 강동구 아리수로93길 40,37.56551714,127.1751066
2022_00090,서울특별시 강남구 삼성로 212,37.49961577,127.0659154
2022_00091,서울특별시 마포구 마포대로11길 50,37.55158802,126.9511914
2022_00092,서울특별시 중랑구 중랑천로 20,37.58648311,127.0758051
2022_00093,서울특별시 서초구 서초중앙로 200,37.50045322,127.0156476
2022_00094,서울특별시 구로구 경인로 248-14,37.49755995,126.8478786
2022_00095,서울특별시 강남구 테헤란로44길 26,37.50120577,127.0457171
2022_00096,서울특별시 종로구 난계로29가길 17,37.5737207,127.0227235
2022_00097,서울특별시 마포구 효창원로95길 35,37.5484887,126.9617667
2022_00098,서울특별시 강동구 상암로51길 54,37.54936336,127.1465279
2022_00099,서울특별시 도봉구 마들로 646,37.66761985,127.0468178
2022_00100,서울특별시 노원구 동일로215길 48,37.65082219,127.0561606
2022_00101,서울특별시 강동구 아리수로93길 40,37.56551714,127.1751066
2022_00102,서울특별시 동작구 사당로 90,37.49233562,126.9624478
2022_00103,서울특별시 중구 칠패로 27,37.5602669,126.9720353
2022_00104,서울특별시 강서구 마곡중앙1로 71,37.55690832,126.8178746
2022_00105,서울특별시 중구 퇴계로 217,37.56242271,126.9959312
2022_00106,서울특별시 은평구 은평터널로2길 21,37.5830187,126.8996663
2022_00107,서울특별시 금천구 디지털로 207,37.47906481,126.8890973
2022_00108,서울특별시 성북구 동소문로46길 18,37.60685831,127.0299382
2022_00109,서울특별시 송파구 송파대로32길 15,37.49658241,127.1157571
2022_00110,서울특별시 강서구 마곡중앙1로 71,37.55690832,126.8178746
2022_00111,서울특별시 노원구 동일로195길 39,37.6268026,127.0697857
2022_00112,서울특별시 송파구 양재대로 1218,37.51669099,127.1377124
2022_00113,서울특별시 중구 왕십리로39길 30,37.56370985,127.0257085
2022_00114,서울특별시 노원구 동일로 1390,37.65271807,127.0615199
2022_00115,서울특별시 강동구 고덕로 427,37.55879729,127.1731822
2022_00116,서울특별시 노원구 노원로34길 34,37.6603301,127.0658717
2022_00117,서울특별시 양천구 목동동로 430,37.53520568,126.8843932
2022_00118,서울특별시 서대문구 연희로32길 48,37.57586005,126.937263
2022_00119,서울특별시 관악구 신림로66길 42,37.48557684,126.9320471
2022_00120,서울특별시 강서구 양천로 507,37.5603957,126.8573626
2022_00121,서울특별시 강북구 오패산로 176,37.61742842,127.0333929
2022_00122,서울특별시 마포구 백범로31길 7,37.54525459,126.9487508
2022_00123,서울특별시 서초구 남부순환로289길 16,,
2022_00124,서울특별시 영등포구 여의대방로35가길 19,37.50373534,126.9174406
2022_00125,서울특별시 강동구 고덕로 333,37.55617709,127.1591765
2022_00126,서울특별시 송파구 올림픽로 435,37.5213593,127.1049717
2022_00127,서울특별시 송파구 올림픽로 99,37.51512525,127.07813
2022_00128,서울특별시 송파구 송파대로 567,37.51313818,127.0930487
2022_00129,서울특별시 송파구 송파대로 345,37.49761457,127.1025318
2022_00130,서울특별시 송파구 송파대로 345,37.49761457,127.1025318
2022_00131,서울특별시 중랑구 면목로 489,37.59550573,127.085324
2022_00132,서울특별시 강남구 봉은사로 474,37.51236724,127.0520266
2022_00133,서울특별시 강남구 도산대로 454,37.52368479,127.0460563
2022_00134,서울특별시 강서구 금낭화로 287-19,37.57680385,126.8102869
2022_00135,서울특별시 강서구 양천로10길 37,37.57107844,126.8091413
2022_00136,서울특별시 광진구 아차산로 262,37.53700164,127.0729628
2022_00137,서울특별시 마포구 마포대로 173-15,37.55119072,126.9521743
2022_00138,서울특별시 강남구 삼성로 212,37.49961577,127.0659154
2022_00139,서울특별시 서초구 반포대로 275,37.50239027,126.9959653
2022_00140,서울특별시 서초구 신반포로 270,37.50786022,127.011582
2022_00141,서울특별시 강서구 공항대로39길 74,37.56121729,126.8446357
2022_00142,서울특별시 강동구 천중로42길 70,37.53795207,127.1382752
2022_00143,서울특별시 동작구 현충로 151,37.50677865,126.9689342
2022_00144,서울특별시 강동구 양재대로 1650,37.55437885,127.1459442
2022_00145,서울특별시 강서구 곰달래로20길 31,37.52892091,126.8429998
2022_00146,서울특별시 관악구 은천로 93,37.48735272,126.9454289
2022_00147,서울특별시 양천구 은행정로7길 39-1,37.52183358,126.855084
2022_00148,서울특별시 성북구 장월로 160,37.61792081,127.0522544
2022_00149,서울특별시 영등포구 선유로25길 5,37.52361047,126.8895151
2022_00150,서울특별시 노원구 공릉로 351,37.63812512,127.06791
2022_00151,서울특별시 강남구 압구정로 201,37.53153417,127.0292731
2022_00152,서울특별시 중구 청계천로 400,37.57081055,127.0214639
2022_00153,서울특별시 노원구 수락산로 174,37.67044183,127.0597306
2022_00154,서울특별시 강동구 천호대로175길 10,37.53510852,127.1369564
2022_00155,서울특별시 마포구 성암로 91,37.57131634,126.9066164
2022_00156,서울특별시 동작구 흑석한강로 12,37.50517984,126.9645125
2022_00157,서울특별시 금천구 시흥대로 291,37.45995605,126.8966992
2022_00158,서울특별시 강서구 우현로 67,37.54754619,126.8372075
