school_id,school_name,address
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010074.0,대영고등학교,서울특별시 영등포구 도림로86길 16
7010075.0,동작고등학교,서울특별시 동작구 솔밭로 51
7010075.0,동작고등학교,서울특별시 동작구 솔밭로 51
7010075.0,동작고등학교,서울특별시 동작구 솔밭로 51
7010075.0,동작고등학교,서울특별시 동작구 솔밭로 51
7010076.0,둔촌고등학교,서울특별시 강동구 명일로 140
7010076.0,둔촌고등학교,서울특별시 강동구 명일로 140
7010076.0,둔촌고등학교,서울특별시 강동구 명일로 140
7010076.0,둔촌고등학교,서울특별시 강동구 명일로 140
7010077.0,면목고등학교,서울특별시 중랑구 용마산로72길 36-14
7010077.0,면목고등학교,서울특별시 중랑구 용마산로72길 36-14
7010077.0,면목고등학교,서울특별시 중랑구 용마산로72길 36-14
7010077.0,면목고등학교,서울특별시 중랑구 용마산로72길 36-14
7010077.0,면목고등학교,서울특별시 중랑구 용마산로72길 36-14
7010078.0,명일여자고등학교,서울특별시 강동구 명일로 350
7010078.0,명일여자고등학교,서울특별시 강동구 명일로 350
7010078.0,명일여자고등학교,서울특별시 강동구 명일로 350
7010078.0,명일여자고등학교,서울특별시 강동구 명일로 350
7010078.0,명일여자고등학교,서울특별시 강동구 명일로 350
7010078.0,명일여자고등학교,서울특별시 강동구 명일로 350
7010079.0,무학여자고등학교,서울특별시 성동구 고산자로 197
7010079.0,무학여자고등학교,서울특별시 성동구 고산자로 197
7010079.0,무학여자고등학교,서울특별시 성동구 고산자로 197
7010079.0,무학여자고등학교,서울특별시 성동구 고산자로 197
7010080.0,반포고등학교,서울특별시 서초구 고무래로 71
7010080.0,반포고등학교,서울특별시 서초구 고무래로 71
7010080.0,반포고등학교,서울특별시 서초구 고무래로 71
7010080.0,반포고등학교,서울특별시 서초구 고무래로 71
7010081.0,삼성고등학교,서울특별시 관악구 신림로 41
7010081.0,삼성고등학교,서울특별시 관악구 신림로 41
7010081.0,삼성고등학교,서울특별시 관악구 신림로 41
7010081.0,삼성고등학교,서울특별시 관악구 신림로 41
7010082.0,상계고등학교,서울특별시 노원구 노해로 432
7010082.0,상계고등학교,서울특별시 노원구 노해로 432
7010082.0,상계고등학교,서울특별시 노원구 노해로 432
